0.14 s |  Acceleration:  4.71825 m/s^2 | Velocity:  0.79599 m/s
0.141 s |  Acceleration:  4.7002 m/s^2 | Velocity:  0.80069 m/s
0.142 s |  Acceleration:  4.68211 m/s^2 | Velocity:  0.80537 m/s
0.143 s |  Acceleration:  4.66399 m/s^2 | Velocity:  0.81003 m/s
0.144 s |  Acceleration:  4.64583 m/s^2 | Velocity:  0.81468 m/s
0.145 s |  Acceleration:  4.62763 m/s^2 | Velocity:  0.81931 m/s
0.146 s |  Acceleration:  4.60941 m/s^2 | Velocity:  0.82392 m/s
0.147 s |  Acceleration:  4.59115 m/s^2 | Velocity:  0.82851 m/s
0.148 s |  Acceleration:  4.57287 m/s^2 | Velocity:  0.83308 m/s
0.149 s |  Acceleration:  4.55455 m/s^2 | Velocity:  0.83763 m/s
0.15 s |  Acceleration:  4.53621 m/s^2 | Velocity:  0.84217 m/s
0.151 s |  Acceleration:  4.51784 m/s^2 | Velocity:  0.84669 m/s
0.152 s |  Acceleration:  4.49945 m/s^2 | Velocity:  0.85119 m/s
0.153 s |  Acceleration:  4.48104 m/s^2 | Velocity:  0.85567 m/s
0.154 s |  Acceleration:  4.4626 m/s^2 | Velocity:  0.86013 m/s
0.155 s |  Acceleration:  4.44415 m/s^2 | Velocity:  0.86458 m/s
0.156 s |  Acceleration:  4.42567 m/s^2 | Velocity:  0.869 m/s
0.157 s |  Acceleration:  4.40718 m/s^2 | Velocity:  0.87341 m/s
0.158 s |  Acceleration:  4.38867 m/s^2 | Velocity:  0.8778 m/s
0.159 s |  Acceleration:  4.37015 m/s^2 | Velocity:  0.88217 m/s
0.16 s |  Acceleration:  4.35161 m/s^2 | Velocity:  0.88652 m/s
0.161 s |  Acceleration:  4.33306 m/s^2 | Velocity:  0.89085 m/s
0.162 s |  Acceleration:  4.31449 m/s^2 | Velocity:  0.89517 m/s
0.163 s |  Acceleration:  4.29592 m/s^2 | Velocity:  0.89946 m/s
0.164 s |  Acceleration:  4.27734 m/s^2 | Velocity:  0.90374 m/s
0.165 s |  Acceleration:  4.25875 m/s^2 | Velocity:  0.908 m/s
0.166 s |  Acceleration:  4.24015 m/s^2 | Velocity:  0.91224 m/s
0.167 s |  Acceleration:  4.22155 m/s^2 | Velocity:  0.91646 m/s
0.168 s |  Acceleration:  4.20294 m/s^2 | Velocity:  0.92066 m/s
0.169 s |  Acceleration:  4.18433 m/s^2 | Velocity:  0.92485 m/s
0.17 s |  Acceleration:  4.16572 m/s^2 | Velocity:  0.92901 m/s
0.171 s |  Acceleration:  4.1471 m/s^2 | Velocity:  0.93316 m/s
0.172 s |  Acceleration:  4.12849 m/s^2 | Velocity:  0.93729 m/s
0.173 s |  Acceleration:  4.10987 m/s^2 | Velocity:  0.9414 m/s
0.174 s |  Acceleration:  4.09126 m/s^2 | Velocity:  0.94549 m/s
0.175 s |  Acceleration:  4.07266 m/s^2 | Velocity:  0.94956 m/s
0.176 s |  Acceleration:  4.05405 m/s^2 | Velocity:  0.95362 m/s
0.177 s |  Acceleration:  4.03546 m/s^2 | Velocity:  0.95765 m/s
0.178 s |  Acceleration:  4.01687 m/s^2 | Velocity:  0.96167 m/s
0.179 s |  Acceleration:  3.99828 m/s^2 | Velocity:  0.96567 m/s
0.18 s |  Acceleration:  3.97971 m/s^2 | Velocity:  0.96965 m/s
0.181 s |  Acceleration:  3.96115 m/s^2 | Velocity:  0.97361 m/s
0.182 s |  Acceleration:  3.94259 m/s^2 | Velocity:  0.97755 m/s
0.183 s |  Acceleration:  3.92405 m/s^2 | Velocity:  0.98147 m/s
0.184 s |  Acceleration:  3.90552 m/s^2 | Velocity:  0.98538 m/s
0.185 s |  Acceleration:  3.88701 m/s^2 | Velocity:  0.98927 m/s
0.186 s |  Acceleration:  3.86851 m/s^2 | Velocity:  0.99314 m/s
0.187 s |  Acceleration:  3.85002 m/s^2 | Velocity:  0.99699 m/s
0.188 s |  Acceleration:  3.83155 m/s^2 | Velocity:  1.00082 m/s
0.189 s |  Acceleration:  3.8131 m/s^2 | Velocity:  1.00463 m/s
0.19 s |  Acceleration:  3.79467 m/s^2 | Velocity:  1.00842 m/s
0.191 s |  Acceleration:  3.77626 m/s^2 | Velocity:  1.0122 m/s
0.192 s |  Acceleration:  3.75787 m/s^2 | Velocity:  1.01596 m/s
0.193 s |  Acceleration:  3.7395 m/s^2 | Velocity:  1.0197 m/s
0.194 s |  Acceleration:  3.72115 m/s^2 | Velocity:  1.02342 m/s
0.195 s |  Acceleration:  3.70282 m/s^2 | Velocity:  1.02712 m/s
0.196 s |  Acceleration:  3.68452 m/s^2 | Velocity:  1.03081 m/s
0.197 s |  Acceleration:  3.66625 m/s^2 | Velocity:  1.03447 m/s
0.198 s |  Acceleration:  3.648 m/s^2 | Velocity:  1.03812 m/s
0.199 s |  Acceleration:  3.62977 m/s^2 | Velocity:  1.04175 m/s
0.2 s |  Acceleration:  3.61157 m/s^2 | Velocity:  1.04536 m/s
0.201 s |  Acceleration:  3.59341 m/s^2 | Velocity:  1.04896 m/s
0.202 s |  Acceleration:  3.57527 m/s^2 | Velocity:  1.05253 m/s
0.203 s |  Acceleration:  3.55716 m/s^2 | Velocity:  1.05609 m/s
0.204 s |  Acceleration:  3.53908 m/s^2 | Velocity:  1.05963 m/s
0.205 s |  Acceleration:  3.52103 m/s^2 | Velocity:  1.06315 m/s
0.206 s |  Acceleration:  3.50301 m/s^2 | Velocity:  1.06665 m/s
0.207 s |  Acceleration:  3.48503 m/s^2 | Velocity:  1.07014 m/s
0.208 s |  Acceleration:  3.46708 m/s^2 | Velocity:  1.0736 m/s
0.209 s |  Acceleration:  3.44917 m/s^2 | Velocity:  1.07705 m/s
0.21 s |  Acceleration:  3.43129 m/s^2 | Velocity:  1.08048 m/s
0.211 s |  Acceleration:  3.41344 m/s^2 | Velocity:  1.0839 m/s
0.212 s |  Acceleration:  3.39564 m/s^2 | Velocity:  1.08729 m/s
0.213 s |  Acceleration:  3.37787 m/s^2 | Velocity:  1.09067 m/s
0.214 s |  Acceleration:  3.36013 m/s^2 | Velocity:  1.09403 m/s
0.215 s |  Acceleration:  3.34244 m/s^2 | Velocity:  1.09737 m/s
0.216 s |  Acceleration:  3.32478 m/s^2 | Velocity:  1.1007 m/s
0.217 s |  Acceleration:  3.30717 m/s^2 | Velocity:  1.10401 m/s
0.218 s |  Acceleration:  3.2896 m/s^2 | Velocity:  1.1073 m/s
0.219 s |  Acceleration:  3.27206 m/s^2 | Velocity:  1.11057 m/s
0.22 s |  Acceleration:  3.25457 m/s^2 | Velocity:  1.11382 m/s
0.221 s |  Acceleration:  3.23712 m/s^2 | Velocity:  1.11706 m/s
0.222 s |  Acceleration:  3.21971 m/s^2 | Velocity:  1.12028 m/s
0.223 s |  Acceleration:  3.20235 m/s^2 | Velocity:  1.12348 m/s
0.224 s |  Acceleration:  3.18503 m/s^2 | Velocity:  1.12667 m/s
0.225 s |  Acceleration:  3.16776 m/s^2 | Velocity:  1.12983 m/s
0.226 s |  Acceleration:  3.15053 m/s^2 | Velocity:  1.13298 m/s
0.227 s |  Acceleration:  3.13335 m/s^2 | Velocity:  1.13612 m/s
0.228 s |  Acceleration:  3.11621 m/s^2 | Velocity:  1.13923 m/s
0.229 s |  Acceleration:  3.09912 m/s^2 | Velocity:  1.14233 m/s
0.23 s |  Acceleration:  3.08207 m/s^2 | Velocity:  1.14542 m/s
0.231 s |  Acceleration:  3.06508 m/s^2 | Velocity:  1.14848 m/s
0.232 s |  Acceleration:  3.04813 m/s^2 | Velocity:  1.15153 m/s
0.233 s |  Acceleration:  3.03123 m/s^2 | Velocity:  1.15456 m/s
